PassengerId,Survived,Pclass,Age,Price
1,0,3,22.0,7.25
2,1,1,38.0,71.2833
3,1,3,26.0,7.925
4,1,1,35.0,26.55
5,0,3,35.0,8.05
7,0,1,54.0,51.8625
8,0,3,2.0,5.26875
9,1,3,27.0,3.7111
10,1,2,14.0,15.0354
11,1,3,4.0,8.35
12,1,1,58.0,26.55
13,0,3,20.0,8.05
14,0,3,39.0,4.4678571428571425
15,0,3,14.0,7.8542
16,1,2,55.0,16.0
17,0,3,2.0,5.825
19,0,3,31.0,18.0
21,0,2,35.0,13.0
22,1,2,34.0,13.0
23,1,3,15.0,8.0292
24,1,1,28.0,35.5
25,0,3,8.0,5.26875
26,1,3,38.0,7.846875
28,0,1,19.0,65.75
31,0,1,40.0,27.7208
34,0,2,66.0,10.5
35,0,1,28.0,41.0854
36,0,1,42.0,26.0
38,0,3,21.0,8.05
39,0,3,18.0,9.0
40,1,3,14.0,5.62085
41,0,3,40.0,9.475
42,0,2,27.0,10.5
44,1,2,3.0,13.859733333333333
45,1,3,19.0,7.8792
50,0,3,18.0,8.9
51,0,3,7.0,6.614583333333333
52,0,3,21.0,7.8
53,1,1,49.0,25.576400000000003
54,1,2,29.0,26.0
55,0,1,65.0,61.9792
57,1,2,21.0,10.5
58,0,3,28.5,7.2292
59,1,2,5.0,9.25
60,0,3,11.0,7.816666666666666
61,0,3,22.0,7.2292
62,1,1,38.0,40.0
63,0,1,45.0,41.7375
64,0,3,4.0,4.6499999999999995
67,1,2,29.0,10.5
68,0,3,19.0,8.1583
69,1,3,17.0,7.925
70,0,3,26.0,8.6625
71,0,2,32.0,10.5
72,0,3,16.0,7.816666666666666
73,0,2,21.0,14.7
74,0,3,26.0,14.4542
75,1,3,32.0,8.070828571428573
76,0,3,25.0,7.65
79,1,2,0.83,14.5
80,1,3,30.0,6.2375
81,0,3,22.0,9.0
82,1,3,29.0,9.5
84,0,1,28.0,47.1
85,1,2,17.0,10.5
86,1,3,33.0,7.925
87,0,3,16.0,8.59375
89,1,1,23.0,65.75
90,0,3,24.0,8.05
91,0,3,29.0,8.05
92,0,3,20.0,7.8542
93,0,1,46.0,61.175
94,0,3,26.0,10.2875
95,0,3,59.0,7.25
97,0,1,71.0,34.6542
98,1,1,23.0,63.3583
99,1,2,34.0,11.5
100,0,2,34.0,13.0
101,0,3,28.0,7.8958
103,0,1,21.0,38.64375
104,0,3,33.0,8.6542
105,0,3,37.0,7.925
106,0,3,28.0,7.8958
107,1,3,21.0,7.65
109,0,3,38.0,7.8958
111,0,1,47.0,26.0
112,0,3,14.5,7.2271
113,0,3,22.0,8.05
114,0,3,20.0,9.825
115,0,3,17.0,7.22915
116,0,3,21.0,7.925
117,0,3,70.5,7.75
118,0,2,29.0,10.5
119,0,1,24.0,123.7604
120,0,3,2.0,4.4678571428571425
121,0,2,21.0,14.7
123,0,2,32.5,15.0354
124,1,2,32.5,13.0
125,0,1,54.0,38.64375
126,1,3,12.0,5.62085
128,1,3,24.0,7.1417
130,0,3,45.0,6.975
131,0,3,33.0,7.8958
132,0,3,20.0,7.05
133,0,3,47.0,14.5
134,1,2,29.0,26.0
135,0,2,25.0,13.0
136,0,2,23.0,15.0458
137,1,1,19.0,26.2833
138,0,1,37.0,26.55
139,0,3,16.0,4.60835
140,0,1,24.0,39.6
142,1,3,22.0,7.75
143,1,3,24.0,7.925
144,0,3,19.0,6.75
145,0,2,18.0,11.5
146,0,2,19.0,18.375
147,1,3,27.0,7.7958
148,0,3,9.0,8.59375
149,0,2,36.5,8.666666666666666
150,0,2,42.0,13.0
151,0,2,51.0,12.525
152,1,1,22.0,33.3
153,0,3,55.5,8.05
154,0,3,40.5,14.5
156,0,1,51.0,61.3792
157,1,3,16.0,7.7333
158,0,3,30.0,8.05
161,0,3,44.0,16.1
162,1,2,40.0,15.75
163,0,3,26.0,7.775
164,0,3,17.0,8.6625
165,0,3,1.0,6.614583333333333
166,1,3,9.0,6.841666666666666
168,0,3,45.0,4.6499999999999995
170,0,3,28.0,8.070828571428573
171,0,1,61.0,33.5
172,0,3,4.0,5.825
173,1,3,1.0,3.7111
174,0,3,21.0,7.925
175,0,1,56.0,30.6958
176,0,3,18.0,7.8542
178,0,1,50.0,28.7125
179,0,2,30.0,13.0
180,0,3,36.0,0.0
183,0,3,9.0,7.846875
184,1,2,1.0,19.5
185,1,3,4.0,22.025
188,1,1,45.0,26.55
189,0,3,40.0,7.75
190,0,3,36.0,7.8958
191,1,2,32.0,13.0
192,0,2,19.0,13.0
193,1,3,19.0,7.8542
194,1,2,3.0,8.666666666666666
195,1,1,44.0,27.7208
196,1,1,58.0,73.2604
198,0,3,42.0,8.4042
200,0,2,24.0,13.0
201,0,3,28.0,9.5
203,0,3,34.0,6.4958
204,0,3,45.5,7.225
205,1,3,18.0,8.05
206,0,3,2.0,5.23125
207,0,3,32.0,7.925
208,1,3,26.0,9.39375
209,1,3,16.0,7.75
210,1,1,40.0,31.0
211,0,3,24.0,7.05
212,1,2,35.0,21.0
213,0,3,22.0,7.25
214,0,2,30.0,13.0
216,1,1,31.0,37.75833333333333
217,1,3,27.0,7.925
218,0,2,42.0,13.5
219,1,1,32.0,76.2917
220,0,2,30.0,10.5
221,1,3,16.0,8.05
222,0,2,27.0,13.0
223,0,3,51.0,8.05
225,1,1,38.0,45.0
226,0,3,22.0,9.35
227,1,2,19.0,10.5
228,0,3,20.5,7.25
229,0,2,18.0,13.0
231,1,1,35.0,41.7375
232,0,3,29.0,7.775
233,0,2,59.0,13.5
234,1,3,5.0,7.846875
235,0,2,24.0,10.5
237,0,2,44.0,26.0
238,1,2,8.0,8.75
239,0,2,19.0,10.5
240,0,2,33.0,12.275
243,0,2,29.0,10.5
244,0,3,22.0,7.125
245,0,3,30.0,7.225
246,0,1,44.0,45.0
247,0,3,25.0,7.775
248,1,2,24.0,7.25
249,1,1,37.0,26.2771
250,0,2,54.0,13.0
252,0,3,29.0,5.23125
253,0,1,62.0,26.55
254,0,3,30.0,8.05
255,0,3,41.0,10.10625
256,1,3,29.0,15.2458
258,1,1,30.0,28.833333333333332
259,1,1,35.0,170.7764
260,1,2,50.0,13.0
262,1,3,3.0,7.846875
263,0,1,52.0,26.55
264,0,1,40.0,0.0
266,0,2,36.0,10.5
267,0,3,16.0,6.614583333333333
268,1,3,25.0,7.775
269,1,1,58.0,51.15416666666667
270,1,1,35.0,45.211099999999995
272,1,3,25.0,0.0
273,1,2,41.0,9.75
274,0,1,37.0,29.7
276,1,1,63.0,25.986099999999997
277,0,3,45.0,7.75
279,0,3,7.0,5.825
280,1,3,35.0,10.125
281,0,3,65.0,7.75
282,0,3,28.0,7.8542
283,0,3,16.0,9.5
284,1,3,19.0,8.05
286,0,3,33.0,8.6625
287,1,3,30.0,9.5
288,0,3,22.0,7.8958
289,1,2,42.0,13.0
290,1,3,22.0,7.75
291,1,1,26.0,39.425
292,1,1,19.0,45.5396
293,0,2,36.0,12.875
294,0,3,24.0,8.85
295,0,3,24.0,7.8958
297,0,3,23.5,7.2292
298,0,1,2.0,37.8875
300,1,1,50.0,123.7604
303,0,3,19.0,0.0
306,1,1,0.92,37.8875
308,1,1,17.0,54.45
309,0,2,30.0,12.0
310,1,1,30.0,28.4646
311,1,1,24.0,41.57915
312,1,1,18.0,131.1875
313,0,2,26.0,26.0
314,0,3,28.0,7.8958
315,0,2,43.0,8.75
316,1,3,26.0,7.8542
317,1,2,24.0,13.0
318,0,2,54.0,14.0
319,1,1,31.0,82.43335
320,1,1,40.0,67.25
321,0,3,22.0,7.25
322,0,3,27.0,7.8958
323,1,2,30.0,12.35
324,1,2,22.0,14.5
326,1,1,36.0,45.211099999999995
327,0,3,61.0,6.2375
328,1,2,36.0,13.0
329,1,3,31.0,6.841666666666666
330,1,1,16.0,28.9896
332,0,1,45.5,28.5
333,0,1,38.0,51.15416666666667
334,0,3,16.0,9.0
337,0,1,29.0,33.3
338,1,1,41.0,67.25
339,1,3,45.0,8.05
340,0,1,45.0,35.5
341,1,2,2.0,8.666666666666666
342,1,1,24.0,65.75
343,0,2,28.0,13.0
344,0,2,25.0,13.0
345,0,2,36.0,13.0
346,1,2,24.0,13.0
347,1,2,40.0,13.0
349,1,3,3.0,7.95
350,0,3,42.0,8.6625
351,0,3,23.0,9.225
353,0,3,15.0,7.2292
354,0,3,25.0,8.9
356,0,3,28.0,9.5
357,1,1,22.0,27.5
358,0,2,38.0,13.0
361,0,3,40.0,4.6499999999999995
362,0,2,29.0,27.7208
363,0,3,45.0,7.2271
364,0,3,35.0,7.05
366,0,3,30.0,7.25
367,1,1,60.0,75.25
370,1,1,24.0,34.65
371,1,1,25.0,55.4417
372,0,3,18.0,6.4958
373,0,3,19.0,8.05
374,0,1,22.0,45.211099999999995
375,0,3,3.0,5.26875
377,1,3,22.0,7.25
378,0,1,27.0,211.5
379,0,3,20.0,4.0125
380,0,3,19.0,7.775
381,1,1,42.0,56.88125
382,1,3,1.0,7.87085
383,0,3,32.0,7.925
384,1,1,35.0,26.0
386,0,2,18.0,14.7
387,0,3,1.0,7.816666666666666
388,1,2,36.0,13.0
390,1,2,17.0,12.0
391,1,1,36.0,30.0
392,1,3,21.0,7.7958
393,0,3,28.0,7.925
394,1,1,23.0,37.75833333333333
395,1,3,24.0,8.35
396,0,3,22.0,7.7958
397,0,3,31.0,7.8542
398,0,2,46.0,13.0
399,0,2,23.0,10.5
400,1,2,28.0,12.65
401,1,3,39.0,7.925
402,0,3,26.0,8.05
403,0,3,21.0,9.825
404,0,3,28.0,7.925
405,0,3,20.0,8.6625
406,0,2,34.0,21.0
407,0,3,51.0,7.75
408,1,2,3.0,6.25
409,0,3,21.0,7.775
413,1,1,33.0,45.0
415,1,3,44.0,7.925
417,1,2,34.0,32.5
418,1,2,18.0,13.0
419,0,2,30.0,13.0
420,0,3,10.0,8.049999999999999
422,0,3,21.0,7.7333
423,0,3,29.0,7.875
424,0,3,28.0,7.2
425,0,3,18.0,10.10625
427,1,2,28.0,26.0
428,1,2,19.0,13.0
430,1,3,32.0,8.05
431,1,1,28.0,26.55
433,1,2,42.0,26.0
434,0,3,17.0,7.125
435,0,1,50.0,27.95
436,1,1,14.0,30.0
437,0,3,21.0,8.59375
438,1,2,24.0,6.25
439,0,1,64.0,65.75
440,0,2,31.0,10.5
441,1,2,45.0,8.75
442,0,3,20.0,9.5
443,0,3,25.0,7.775
444,1,2,28.0,13.0
446,1,1,4.0,81.8583
447,1,2,13.0,9.75
448,1,1,34.0,26.55
449,1,3,5.0,4.814575
450,1,1,52.0,30.5
451,0,2,36.0,9.25
453,0,1,30.0,27.75
454,1,1,49.0,44.5521
456,1,3,29.0,7.8958
457,0,1,65.0,26.55
459,1,2,50.0,10.5
461,1,1,48.0,26.55
462,0,3,34.0,8.05
463,0,1,47.0,38.5
464,0,2,48.0,13.0
466,0,3,38.0,7.05
468,0,1,56.0,26.55
470,1,3,0.75,4.814575
472,0,3,38.0,8.6625
473,1,2,33.0,9.25
474,1,2,23.0,13.7917
475,0,3,22.0,9.8375
477,0,2,34.0,10.5
478,0,3,29.0,7.0458
479,0,3,22.0,7.5208
480,1,3,2.0,12.2875
481,0,3,9.0,7.816666666666666
483,0,3,50.0,8.05
484,1,3,63.0,9.5875
485,1,1,25.0,45.5396
487,1,1,35.0,45.0
488,0,1,58.0,29.7
489,0,3,30.0,8.05
490,1,3,9.0,7.95
492,0,3,21.0,7.25
493,0,1,55.0,30.5
494,0,1,71.0,49.5042
495,0,3,21.0,8.05
497,1,1,54.0,39.13335
499,0,1,25.0,37.8875
500,0,3,24.0,7.7958
501,0,3,17.0,8.6625
502,0,3,21.0,7.75
504,0,3,37.0,9.5875
505,1,1,16.0,28.833333333333332
506,0,1,18.0,54.45
507,1,2,33.0,13.0
509,0,3,28.0,22.525
510,1,3,26.0,8.070828571428573
511,1,3,29.0,7.75
513,1,1,36.0,26.2875
514,1,1,54.0,59.4
515,0,3,24.0,7.4958
516,0,1,47.0,34.0208
517,1,2,34.0,10.5
519,1,2,36.0,26.0
520,0,3,32.0,7.8958
521,1,1,30.0,46.75
522,0,3,22.0,7.8958
524,1,1,44.0,28.9896
526,0,3,40.5,7.75
527,1,2,50.0,10.5
529,0,3,39.0,7.925
530,0,2,23.0,11.5
531,1,2,2.0,13.0
533,0,3,17.0,7.2292
535,0,3,30.0,8.6625
536,1,2,7.0,8.75
537,0,1,45.0,26.55
538,1,1,30.0,53.2125
540,1,1,22.0,49.5
541,1,1,36.0,35.5
542,0,3,9.0,4.4678571428571425
543,0,3,11.0,4.4678571428571425
544,1,2,32.0,13.0
545,0,1,50.0,53.2125
546,0,1,64.0,26.0
547,1,2,19.0,13.0
549,0,3,33.0,6.841666666666666
550,1,2,8.0,18.375
551,1,1,17.0,27.720825
552,0,2,27.0,26.0
554,1,3,22.0,7.225
555,1,3,22.0,7.775
556,0,1,62.0,26.55
557,1,1,48.0,39.6
559,1,1,39.0,26.55
560,1,3,36.0,17.4
562,0,3,40.0,7.8958
563,0,2,28.0,13.5
566,0,3,24.0,12.075
567,0,3,19.0,7.8958
568,0,3,29.0,5.26875
570,1,3,32.0,7.8542
571,1,2,62.0,10.5
572,1,1,53.0,51.4792
573,1,1,36.0,26.3875
575,0,3,16.0,8.05
576,0,3,19.0,7.25
577,1,2,34.0,13.0
578,1,1,39.0,27.95
580,1,3,32.0,7.925
581,1,2,25.0,30.0
582,1,1,39.0,27.720825
583,0,2,54.0,13.0
584,0,1,36.0,40.125
586,1,1,18.0,26.55
587,0,2,47.0,15.0
588,1,1,60.0,79.2
589,0,3,22.0,8.05
591,0,3,35.0,7.125
592,1,1,52.0,39.13335
593,0,3,47.0,7.25
595,0,2,37.0,26.0
596,0,3,36.0,8.049999999999999
598,0,3,49.0,0.0
600,1,1,49.0,28.4646
601,1,2,24.0,13.5
604,0,3,44.0,8.05
605,1,1,35.0,26.55
606,0,3,36.0,15.55
607,0,3,30.0,7.8958
608,1,1,27.0,30.5
609,1,2,22.0,13.859733333333333
610,1,1,40.0,51.15416666666667
611,0,3,39.0,4.4678571428571425
615,0,3,35.0,8.05
616,1,2,24.0,32.5
617,0,3,34.0,7.2
618,0,3,26.0,8.05
619,1,2,4.0,19.5
620,0,2,26.0,10.5
621,0,3,27.0,7.2271
622,1,1,42.0,52.5542
623,1,3,20.0,7.87085
624,0,3,21.0,7.8542
625,0,3,21.0,8.05
626,0,1,61.0,32.3208
627,0,2,57.0,12.35
628,1,1,21.0,25.986099999999997
629,0,3,26.0,7.8958
631,1,1,80.0,30.0
632,0,3,51.0,7.0542
633,1,1,32.0,30.5
635,0,3,9.0,4.6499999999999995
636,1,2,28.0,13.0
637,0,3,32.0,7.925
638,0,2,31.0,8.75
639,0,3,41.0,6.614583333333333
641,0,3,20.0,7.8542
642,1,1,24.0,34.65
643,0,3,2.0,4.6499999999999995
645,1,3,0.75,4.814575
646,1,1,48.0,25.576400000000003
647,0,3,19.0,7.8958
648,1,1,56.0,35.5
650,1,3,23.0,7.55
652,1,2,18.0,11.5
653,0,3,21.0,8.4333
655,0,3,18.0,6.75
656,0,2,24.0,14.7
658,0,3,32.0,7.75
659,0,2,23.0,13.0
660,0,1,58.0,37.75833333333333
661,1,1,50.0,66.825
662,0,3,40.0,7.225
663,0,1,47.0,25.5875
664,0,3,36.0,7.4958
665,1,3,20.0,7.925
666,0,2,32.0,14.7
667,0,2,25.0,13.0
669,0,3,43.0,8.05
671,1,2,40.0,19.5
672,0,1,31.0,52.0
673,0,2,70.0,10.5
674,1,2,31.0,13.0
676,0,3,18.0,7.775
677,0,3,24.5,8.05
678,1,3,18.0,9.8417
679,0,3,43.0,7.816666666666666
680,1,1,36.0,170.7764
682,1,1,27.0,25.576400000000003
683,0,3,20.0,9.225
684,0,3,14.0,7.816666666666666
685,0,2,60.0,19.5
686,0,2,25.0,13.859733333333333
687,0,3,14.0,6.614583333333333
688,0,3,19.0,10.1708
689,0,3,18.0,7.7958
690,1,1,15.0,70.44583333333334
691,1,1,31.0,28.5
692,1,3,4.0,13.4167
694,0,3,25.0,7.225
695,0,1,60.0,26.55
696,0,2,52.0,13.5
697,0,3,44.0,8.05
699,0,1,49.0,27.720825
700,0,3,42.0,7.65
701,1,1,18.0,56.88125
702,1,1,35.0,26.2875
703,0,3,18.0,7.2271
704,0,3,25.0,7.7417
705,0,3,26.0,7.8542
706,0,2,39.0,13.0
707,1,2,45.0,13.5
708,1,1,42.0,26.2875
709,1,1,22.0,37.8875
711,1,1,24.0,49.5042
713,1,1,48.0,26.0
714,0,3,29.0,9.4833
715,0,2,52.0,6.5
716,0,3,19.0,7.65
717,1,1,38.0,56.88125
718,1,2,27.0,10.5
720,0,3,33.0,7.775
721,1,2,6.0,11.0
722,0,3,17.0,7.0542
723,0,2,34.0,13.0
724,0,2,50.0,13.0
725,1,1,27.0,26.55
726,0,3,20.0,8.6625
727,1,2,30.0,10.5
729,0,2,25.0,26.0
730,0,3,25.0,7.925
731,1,1,29.0,70.44583333333334
732,0,3,11.0,9.39375
734,0,2,23.0,13.0
735,0,2,23.0,13.0
736,0,3,28.5,8.05
737,0,3,48.0,8.59375
738,1,1,35.0,170.7764
742,0,1,36.0,39.425
743,1,1,21.0,131.1875
744,0,3,24.0,16.1
745,1,3,31.0,7.925
746,0,1,70.0,35.5
747,0,3,16.0,10.125
748,1,2,30.0,13.0
749,0,1,19.0,53.1
750,0,3,31.0,7.75
751,1,2,4.0,23.0
752,1,3,6.0,6.2375
753,0,3,33.0,9.5
754,0,3,23.0,7.8958
755,1,2,48.0,32.5
756,1,2,0.67,7.25
757,0,3,28.0,7.7958
758,0,2,18.0,11.5
759,0,3,34.0,8.05
760,1,1,33.0,28.833333333333332
762,0,3,41.0,7.125
763,1,3,20.0,7.2292
764,1,1,36.0,30.0
765,0,3,16.0,7.775
766,1,1,51.0,25.986099999999997
768,0,3,30.5,7.75
770,0,3,32.0,8.3625
771,0,3,24.0,9.5
772,0,3,48.0,7.8542
773,0,2,57.0,5.25
775,1,2,54.0,23.0
776,0,3,18.0,7.75
778,1,3,5.0,6.2375
780,1,1,43.0,70.44583333333334
781,1,3,13.0,7.2292
782,1,1,17.0,28.5
783,0,1,29.0,30.0
785,0,3,25.0,7.05
786,0,3,25.0,7.25
787,1,3,18.0,7.4958
788,0,3,8.0,5.825
789,1,3,1.0,10.2875
790,0,1,46.0,39.6
792,0,2,16.0,13.0
795,0,3,25.0,7.8958
796,0,2,39.0,13.0
797,1,1,49.0,25.9292
798,1,3,31.0,8.6833
799,0,3,30.0,7.2292
800,0,3,30.0,8.049999999999999
801,0,2,34.0,6.5
802,1,2,31.0,8.75
803,1,1,11.0,30.0
804,1,3,0.42,8.5167
805,1,3,27.0,6.975
806,0,3,31.0,7.775
807,0,1,39.0,0.0
808,0,3,18.0,7.775
809,0,2,39.0,13.0
810,1,1,33.0,26.55
811,0,3,26.0,7.8875
812,0,3,39.0,12.075
813,0,2,35.0,10.5
814,0,3,6.0,4.4678571428571425
815,0,3,30.5,8.05
817,0,3,23.0,7.925
818,0,2,31.0,18.5021
819,0,3,43.0,6.45
820,0,3,10.0,4.6499999999999995
821,1,1,52.0,46.75
822,1,3,27.0,8.6625
823,0,1,38.0,0.0
824,1,3,27.0,6.2375
825,0,3,2.0,6.614583333333333
828,1,2,1.0,18.5021
830,1,1,62.0,40.0
831,1,3,15.0,7.2271
832,1,2,0.83,6.25
834,0,3,23.0,7.8542
835,0,3,18.0,8.3
836,1,1,39.0,83.1583
837,0,3,21.0,8.6625
839,1,3,32.0,8.070828571428573
841,0,3,20.0,7.925
842,0,2,16.0,5.25
843,1,1,30.0,15.5
844,0,3,34.5,6.4375
845,0,3,17.0,8.6625
846,0,3,42.0,7.55
848,0,3,35.0,7.8958
849,0,2,28.0,11.0
851,0,3,4.0,4.4678571428571425
852,0,3,74.0,7.775
853,0,3,9.0,7.6229
854,1,1,16.0,39.4
855,0,2,44.0,13.0
856,1,3,18.0,9.35
857,1,1,45.0,82.43335
858,1,1,51.0,26.55
859,1,3,24.0,4.814575
861,0,3,41.0,14.1083
862,0,2,21.0,11.5
863,1,1,48.0,25.9292
865,0,2,24.0,13.0
866,1,2,42.0,13.0
867,1,2,27.0,13.8583
868,0,1,31.0,50.4958
870,1,3,4.0,3.7111
871,0,3,26.0,7.8958
872,1,1,47.0,26.2771
873,0,1,33.0,5.0
874,0,3,47.0,9.0
875,1,2,28.0,12.0
876,1,3,15.0,7.225
877,0,3,20.0,4.9229
878,0,3,19.0,7.8958
880,1,1,56.0,41.57915
881,1,2,25.0,13.0
882,0,3,33.0,7.8958
883,0,3,22.0,10.5167
884,0,2,28.0,10.5
885,0,3,25.0,7.05
886,0,3,39.0,5.825
887,0,2,27.0,13.0
888,1,1,19.0,30.0
890,1,1,26.0,30.0
891,0,3,32.0,7.75