Temperatura Media Â©,Temperatura Minima (C),Temperatura Maxima (C),Precipitacao (mm),Final de Semana,Consumo de cerveja (litros)
21.7,18.0,28.0,0.0,0,27.713
25.5,17.6,30.5,14.1,0,23.614
25.66,20.6,32.8,4.0,0,28.617
24.0,22.2,27.7,0.0,0,22.933
23.12,20.6,28.0,0.1,1,32.78
16.72,14.2,21.0,0.0,0,20.3
15.26,12.0,20.9,0.0,0,21.86
21.86,19.5,25.6,3.4,0,22.741
21.7,18.4,28.8,0.0,0,22.001
22.78,19.4,29.6,0.0,0,28.647
28.06,21.3,34.5,0.0,0,26.311
20.26,16.3,25.4,0.0,0,20.429
14.52,12.8,16.1,0.0,0,14.343
19.76,18.0,22.8,0.0,0,20.575
21.38,19.3,22.4,6.3,0,20.467
20.2,18.2,23.8,0.0,1,24.827
17.2,15.1,19.9,1.6,0,19.727
23.86,19.1,31.2,0.0,0,31.649
20.62,15.9,26.2,0.0,1,30.498
18.14,16.6,20.8,9.9,0,21.826
22.48,20.7,26.5,4.5,0,24.097
19.9,17.7,22.8,14.6,0,23.065
22.1,18.2,29.4,0.0,0,30.471
17.78,16.2,20.5,0.0,0,20.824
21.02,16.3,27.2,0.0,0,24.867
18.36,14.6,24.1,0.0,0,22.772
23.7,18.7,29.8,0.0,1,34.382
23.6,19.2,33.3,0.0,1,34.695
14.66,13.2,17.7,3.8,0,16.748
17.34,13.4,22.0,0.0,0,17.939
24.72,21.7,28.2,0.0,0,24.567
23.28,19.6,27.0,6.8,0,20.332
16.82,13.6,22.9,2.0,1,25.233
18.26,14.6,24.7,0.0,0,22.304
16.76,11.3,26.7,0.0,0,24.227
19.92,16.8,25.7,0.0,1,25.07
22.64,21.1,26.7,0.0,0,26.095
18.46,12.2,26.7,0.0,1,31.681
18.64,17.0,22.9,0.0,0,24.215
19.46,16.3,25.0,0.0,0,20.786
19.26,14.7,26.4,0.0,1,25.272
22.04,20.7,24.8,1.5,0,21.062
21.28,19.7,24.8,0.0,0,22.162
20.22,18.7,22.4,27.2,1,24.429
22.26,17.1,28.8,0.0,1,31.933
23.12,21.2,26.9,9.7,0,23.042
23.82,21.0,28.3,0.0,0,28.9
22.76,18.1,27.3,0.0,1,32.983
14.54,13.9,18.0,3.8,0,17.241
16.6,11.0,24.2,0.0,0,18.975
26.76,22.1,34.2,0.0,1,37.937
22.4,19.7,27.7,0.0,1,26.467
24.1,19.2,30.3,34.4,0,22.784
23.06,19.8,29.7,8.0,1,29.386
15.34,10.6,20.8,0.0,1,24.227
19.94,15.9,24.4,0.0,1,27.25
14.0,12.8,15.6,27.6,1,21.814
20.56,16.2,27.2,0.0,1,26.272
19.04,16.1,23.7,0.8,1,30.479
22.76,19.7,28.0,85.3,0,17.399
17.68,15.3,21.9,7.2,0,21.245
20.28,19.1,22.9,5.6,0,19.95
21.64,18.9,28.2,7.4,0,24.213
24.6,19.6,32.4,43.0,0,26.828
19.14,15.8,24.3,0.0,0,22.032
24.16,20.6,28.0,0.0,1,32.057
27.26,20.4,33.0,0.0,0,33.93
27.46,22.1,32.4,3.0,0,26.468
22.34,20.0,26.6,0.0,0,21.281
19.6,15.2,27.2,0.0,0,24.183
23.12,19.0,29.4,13.0,1,28.348
16.66,15.2,19.3,0.0,0,19.345
21.04,18.5,26.1,3.6,0,21.784
24.74,19.3,32.7,0.0,0,27.488
25.38,19.9,30.4,2.2,0,26.805
26.3,17.2,35.3,0.0,0,27.871
14.82,12.1,18.1,9.0,0,21.029
21.1,15.5,27.4,0.0,1,29.607
20.12,14.1,26.6,0.0,0,24.594
26.42,19.6,33.5,0.1,0,27.042
16.14,13.9,19.2,0.0,0,18.146
23.12,19.6,29.1,27.2,0,24.834
17.94,16.2,21.2,0.0,1,27.657
22.52,14.3,32.0,0.0,1,31.833
28.0,21.1,35.5,0.0,1,31.836
17.94,15.0,21.7,0.0,0,21.055
25.52,21.2,34.8,0.8,0,26.99
19.7,18.1,22.8,1.7,1,25.855
20.86,15.3,27.6,0.0,0,25.479
28.22,22.7,36.5,3.7,0,29.265
18.92,13.9,25.6,0.0,0,21.525
18.82,15.8,22.9,58.0,0,16.977
23.68,18.9,30.5,0.0,0,22.988
20.8,19.6,23.6,13.6,0,21.662
16.98,15.1,20.5,0.0,0,23.21
24.0,19.3,30.7,0.0,0,24.062
23.24,19.2,30.3,0.0,0,29.411
22.94,19.7,27.1,0.0,0,24.258
21.04,15.8,26.3,0.0,1,28.049
17.08,15.8,19.2,23.6,0,17.075
23.28,19.1,29.5,0.0,1,29.76
17.38,16.1,20.0,7.1,0,21.004
16.98,14.3,20.5,2.4,0,21.092
22.82,20.1,26.4,0.0,1,32.713
20.96,17.6,26.4,7.6,0,22.664
20.5,17.6,27.3,13.4,0,26.594
28.2,21.9,34.0,4.4,0,24.886
22.08,19.1,26.8,0.3,1,32.872
22.76,19.0,29.1,0.0,0,29.513
22.3,18.2,30.6,1.8,1,32.184
16.28,13.6,18.4,5.6,1,26.081
17.36,14.8,22.4,0.0,0,24.679
22.22,19.9,26.4,13.4,0,21.392
22.28,19.0,27.4,0.0,0,25.285
22.12,19.9,23.7,3.2,0,24.738
22.5,20.3,27.2,0.0,1,28.028
25.96,21.4,35.4,0.0,0,25.743
23.92,19.9,28.5,2.4,0,22.922
18.92,14.8,24.0,0.6,0,23.357
16.46,13.0,22.5,0.2,0,20.464
16.46,11.6,24.5,0.0,0,19.64
16.84,13.6,21.5,0.0,0,20.538
23.92,20.1,29.0,32.2,0,21.137
28.3,20.5,35.3,0.0,0,30.345
16.2,14.8,19.6,0.0,0,17.655
16.02,13.1,23.4,0.0,0,19.119
21.06,16.3,27.7,0.0,0,26.127
24.52,19.8,29.0,0.0,0,23.849
20.56,18.2,24.8,0.0,0,22.634
18.56,16.8,23.2,1.8,0,24.683
24.54,19.3,31.0,12.2,1,29.188
24.72,20.5,31.5,3.4,0,31.572
19.66,13.8,26.1,0.0,1,31.129
22.16,17.2,29.2,0.0,0,28.749
25.32,22.7,30.9,0.0,0,29.13
26.14,18.3,34.0,0.0,0,32.589
22.2,19.7,24.4,69.2,1,24.619
21.8,17.5,27.1,0.0,0,24.114
23.3,18.4,29.3,0.0,0,23.937
19.8,13.9,25.1,0.0,0,23.898
21.16,14.9,26.9,0.0,0,25.867
21.3,16.7,26.5,0.0,0,23.07
22.4,18.9,28.7,20.8,0,21.52
16.84,13.2,22.1,1.0,0,23.243
23.78,20.1,30.5,12.2,0,28.218
15.9,14.9,17.9,16.6,1,20.738
22.5,19.0,25.9,18.6,0,25.85
20.42,18.6,23.9,0.0,0,24.862
27.68,23.3,35.6,0.6,0,35.127
22.88,19.9,27.9,12.2,1,28.844
24.32,21.1,31.6,0.0,1,30.231
17.02,13.6,20.6,0.0,0,19.029
26.56,19.3,34.0,0.0,0,33.182
16.22,14.7,18.7,0.0,0,20.452
16.28,12.8,22.1,25.0,0,22.217
23.74,19.8,31.3,1.3,1,32.536
22.88,20.1,28.1,9.5,0,22.933
21.18,14.4,30.1,0.0,0,30.775
21.76,17.7,29.7,0.0,0,26.964
22.0,19.1,28.4,0.1,0,27.582
20.92,18.2,26.2,0.0,0,22.116
24.0,19.3,29.2,20.2,0,24.304
20.28,16.1,25.0,25.0,1,24.876
19.4,15.9,25.6,0.0,0,20.298
23.6,20.5,28.7,1.2,0,29.972
21.74,17.2,28.4,0.0,1,30.505
23.18,18.2,29.3,0.0,1,35.781
16.76,15.5,19.2,0.1,1,22.199
21.42,18.4,27.0,37.2,0,21.593
18.54,13.1,24.6,0.0,0,23.022
17.2,11.0,24.4,0.0,0,24.863
19.1,16.7,23.3,23.4,0,20.238
21.82,18.3,27.2,39.6,0,20.648
20.06,18.9,21.6,2.4,0,19.113
18.72,13.8,24.4,0.1,0,20.227
21.2,18.6,24.9,14.6,0,23.198
17.32,12.6,24.6,0.0,1,28.857
21.92,18.6,25.6,24.2,0,26.275
24.3,20.5,31.9,0.0,0,26.959
21.06,17.9,25.4,18.4,0,22.821
22.76,19.0,29.6,0.0,0,26.249
20.88,18.1,25.7,0.0,0,22.62
21.64,18.5,24.3,0.2,1,27.03
21.16,19.4,24.9,0.0,0,24.609
21.44,15.6,27.8,0.0,1,29.621
25.24,17.2,32.6,0.0,0,25.343
20.58,18.2,24.9,28.6,1,29.637
24.4,18.1,30.0,0.0,1,31.088
22.28,17.6,28.4,0.0,0,28.979
24.42,19.7,31.6,0.0,0,30.3
21.92,18.6,29.4,22.4,0,20.903
19.3,14.8,25.0,0.0,0,24.222
22.48,19.6,30.0,0.0,1,34.496
21.04,15.2,27.4,0.0,0,27.724
23.16,18.0,31.1,1.6,0,31.655
17.86,15.7,20.6,22.2,0,16.956
25.96,21.3,34.0,1.6,0,31.825
28.12,18.9,35.8,0.0,0,35.861
20.1,13.8,26.3,0.0,1,31.663
19.24,12.8,26.6,0.0,0,24.726
21.22,17.3,29.2,0.0,1,32.666
21.74,19.2,26.1,31.0,0,25.795
25.4,20.7,31.4,0.0,0,25.692
24.64,20.4,31.4,0.6,0,26.241
27.62,22.2,34.8,3.4,1,36.254
23.32,18.9,28.7,0.0,0,24.337
18.8,16.9,23.5,0.0,0,22.375
14.72,12.1,17.4,1.0,0,19.463
23.96,19.6,27.9,0.0,0,27.137
22.06,17.5,27.4,0.0,0,26.075
20.18,17.2,27.6,0.0,0,28.742
24.0,21.1,28.2,13.6,1,32.307
21.36,19.3,22.6,7.0,0,21.689
26.2,19.8,32.7,0.0,0,29.569
22.52,19.2,27.5,0.0,0,21.979
21.94,18.5,27.4,0.0,0,23.469
19.82,17.5,24.9,0.0,0,21.838
22.44,20.2,26.1,0.0,0,28.405
20.86,15.2,26.4,0.0,0,26.15
28.26,23.4,35.6,0.0,1,30.524
21.78,19.2,27.1,3.2,0,23.628
16.04,15.0,17.5,0.5,0,20.106
18.46,14.3,25.8,0.0,0,21.104
21.26,18.2,26.3,3.0,1,27.475
23.78,20.8,31.8,0.0,0,29.267
25.7,18.9,33.3,0.0,0,26.362
16.34,14.7,18.9,2.8,0,17.287
21.36,19.7,23.3,77.0,0,20.016
24.82,22.4,29.9,0.0,1,30.814
16.88,14.1,21.8,31.8,0,21.454
22.6,19.4,28.5,0.0,0,22.654
21.52,18.6,27.4,6.8,0,21.479
21.92,19.4,26.6,38.2,1,29.09
21.2,15.6,28.0,0.0,0,23.181
26.5,22.3,32.7,2.0,0,29.938
23.58,17.8,31.0,39.0,0,26.308
16.2,11.0,23.8,0.0,0,22.522
18.26,15.4,22.4,0.0,1,28.411
22.98,18.3,29.8,0.0,0,27.989
21.56,17.1,27.9,0.0,0,22.401
25.0,21.5,29.2,0.0,0,22.696
20.1,16.4,25.8,0.0,0,24.529
23.62,18.2,28.5,0.0,0,26.793
17.76,15.9,20.4,0.0,0,20.68
28.86,22.0,35.8,0.0,1,37.69
23.36,18.2,29.3,0.0,1,33.822
16.12,14.4,18.5,2.4,1,21.827
19.18,17.4,23.3,0.0,1,27.42
17.64,15.7,19.2,0.0,1,26.594
26.28,21.1,32.5,2.0,0,28.131
17.02,14.9,18.7,4.5,0,19.849
21.22,17.5,23.6,27.2,0,17.731
21.6,18.8,27.3,22.7,0,25.343
22.36,17.9,29.4,0.0,1,33.45
23.72,19.4,31.8,10.4,0,27.964
18.08,14.1,26.2,0.0,1,30.177
22.26,19.2,26.9,1.2,0,22.409
18.66,16.8,22.7,0.0,0,19.761
15.82,12.5,20.4,0.0,1,23.055
19.96,17.9,22.3,1.0,0,25.317
20.24,17.4,23.9,0.6,1,28.61
21.86,17.3,28.7,16.7,1,28.893
22.14,20.5,26.6,0.0,1,26.116
18.6,16.6,21.3,0.0,0,21.073
23.16,19.5,29.5,0.0,0,24.146
20.42,14.1,28.1,0.0,0,22.61
23.34,17.8,29.8,94.8,1,21.955
22.9,20.0,27.6,17.4,1,24.968
17.52,13.1,22.9,0.0,1,25.937
19.78,14.3,26.4,0.0,1,32.467
21.36,18.5,27.7,0.0,0,22.356
20.26,17.2,26.9,0.0,0,20.812
17.8,15.8,21.7,0.0,0,19.143
25.54,22.5,32.1,0.0,0,24.219
17.46,16.0,19.8,0.0,1,26.691
20.54,15.5,26.2,0.0,0,22.008
22.52,19.3,29.0,0.0,0,31.108
20.74,17.3,28.3,0.0,0,26.021
26.24,21.3,35.7,0.0,0,27.387
21.4,18.1,27.6,2.4,0,26.523
21.58,15.3,28.0,0.0,0,22.541
16.48,13.3,19.9,0.0,1,23.566
19.98,14.6,25.9,0.0,1,32.473
25.68,20.1,29.9,4.9,0,22.603
24.8,19.5,30.6,0.1,1,32.451
21.44,17.2,30.7,0.0,0,22.389
26.16,23.3,30.4,0.0,0,22.96
22.52,19.3,28.1,0.0,0,24.388
22.8,20.9,26.9,0.0,0,26.845
24.04,20.7,30.3,0.0,0,30.74
20.22,13.5,30.0,0.0,1,27.518
19.62,15.6,26.2,0.0,1,33.517
